=============================================================== 

as [A] =           2.71500 
ag [A] =           2.83000 
al [A] =           2.86833 
skl [eV/A/A] =          2.15025 
skd [eV/A/A] =          1.07513 
mu [A] =           0.04236 
D [1/s]=        5.19588E+12 
E [eV] =            0.53000 
gamma [eV] =         0.40000 
nx=    500 
ny=    80 
nsurf= 32 
irange_min = 10 
irange_max = 10 
time_fluence [s] =           8.000 
time_simulation [s] =         100.000 
k_max_step= 8 
f_deposition [ML/s]=           0.080 
temperature [K] =             600 
================================================================ 

iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    161000        0.463228     503        0.9958   (       364.4)         0.598
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    162000        0.466941     509        0.9958   (       366.6)         0.560
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    163000        0.469964     516        0.9958   (       368.8)         0.641
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    164000        0.473240     518        0.9958   (       371.1)         0.588
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    165000        0.477213     525        0.9958   (       373.4)         0.592
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    166000        0.480210     528        0.9958   (       375.6)         0.659
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    167000        0.482718     530        0.9958   (       377.8)         0.685
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    168000        0.485664     533        0.9958   (       380.0)         0.587
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    169000        0.489458     534        0.9958   (       382.2)         0.590
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    170000        0.492665     539        0.9958   (       384.4)         0.672
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    171000        0.495840     541        0.9958   (       386.6)         0.677
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    172000        0.499281     543        0.9958   (       388.8)         0.731
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    173000        0.502706     548        0.9958   (       391.0)         0.754
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    174000        0.505604     551        0.9958   (       393.2)         0.735
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    175000        0.508673     555        0.9958   (       395.4)         0.715
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    176000        0.512533     559        0.9958   (       397.6)         0.596
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    177000        0.515901     561        0.9958   (       399.8)         0.590
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    178000        0.519290     563        0.9958   (       401.9)         0.643
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    179000        0.522521     568        0.9957   (       404.1)         0.674
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    180000        0.526091     570        0.9957   (       406.3)         0.619
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    181000        0.528824     572        0.9957   (       408.5)         0.630
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    182000        0.532142     575        0.9958   (       410.8)         0.763
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    183000        0.535555     579        0.9957   (       413.0)         0.696
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    184000        0.538519     582        0.9957   (       415.1)         0.688
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    185000        0.541309     583        0.9957   (       417.3)         0.904
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    186000        0.544174     584        0.9957   (       419.5)         0.851
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    187000        0.547529     587        0.9957   (       421.7)         0.774
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    188000        0.550646     588        0.9957   (       423.9)         0.836
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    189000        0.554252     592        0.9957   (       426.0)         0.760
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    190000        0.557622     595        0.9956   (       428.2)         0.908
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    191000        0.560736     598        0.9956   (       430.4)         0.775
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    192000        0.563515     600        0.9956   (       432.6)         0.765
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    193000        0.566778     602        0.9956   (       434.7)         0.857
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    194000        0.570188     606        0.9955   (       436.9)         0.705
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    195000        0.573651     611        0.9955   (       439.1)         0.766
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    196000        0.576713     614        0.9955   (       441.2)         0.755
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    197000        0.580324     618        0.9954   (       443.4)         0.837
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    198000        0.583174     624        0.9951   (       445.5)         0.898
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    199000        0.586311     627        0.9951   (       447.7)         0.864
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    200000        0.589623     630        0.9951   (       449.9)         0.962
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    201000        0.593263     633        0.9945   (       452.0)         1.043
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    202000        0.596352     638        0.9943   (       454.2)         1.205
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    203000        0.599160     639        0.9935   (       456.3)         1.178
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    204000        0.601939     641        0.9933   (       458.4)         1.136
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    205000        0.604463     647        0.9929   (       460.6)         1.111
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    206000        0.608596     650        0.9924   (       462.7)         1.230
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    207000        0.610807     652        0.9901   (       464.6)         1.197
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    208000        0.613876     655        0.9899   (       466.8)         1.099
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    209000        0.616315     659        0.9899   (       468.9)         1.103
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    210000        0.620114     662        0.9898   (       471.1)         1.114
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    211000        0.623432     667        0.9897   (       473.3)         1.256
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    212000        0.626832     674        0.9897   (       475.5)         1.175
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    213000        0.629240     677        0.9897   (       477.6)         1.007
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    214000        0.631954     684        0.9896   (       479.8)         1.105
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    215000        0.635387     687        0.9893   (       482.0)         1.011
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    216000        0.638344     689        0.9893   (       484.2)         0.922
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    217000        0.641927     691        0.9892   (       486.3)         1.138
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    218000        0.644904     697        0.9893   (       488.5)         1.188
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    219000        0.647530     700        0.9892   (       490.7)         0.946
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    220000        0.649651     701        0.9878   (       492.8)         1.037
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    221000        0.650639     702        0.9844   (       494.5)         1.099
